"Gender","Age","Attitude","Points","SeekingMeaning","RelatingIdeas","UseOfEvidence","LackOfPurpose","UnrelatedMemorising","SyllabusBoundness","OrganizedStudying","TimeManagement"
"F",20,24,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,31,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,19,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,20,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",18,38,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,34,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",19,37,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,29,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,23,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,41,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,27,16,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,35,7,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,34,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",18,32,17,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,33,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,33,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",24,35,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",19,32,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,31,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,28,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",17,17,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",19,19,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,35,32,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,24,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,21,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,29,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",19,19,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",19,20,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,42,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",35,41,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",18,37,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",19,36,30,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,18,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
